[2026-01-30 21:33:56] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: Warlock 2: O Armageddon
[2026-01-30 21:35:28] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: Highlander II - A Ressurreição
[2026-01-30 21:36:56] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: Highlander II - A Ressurreição
[2026-01-30 21:37:46] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: Warlock: The Armageddon
[2026-01-30 21:38:08] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: Warlock: The Armageddon
[2026-01-30 21:40:52] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: B13 - 13º Distrito
[2026-01-30 21:42:27] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: A Múmia
[2026-01-30 21:45:01] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: Jonah Hex - Caçador de Recompensas
[2026-01-31 07:45:49] IP: 45.227.58.58 | Action: LOGIN_SUCCESS | Details: Admin fez login com sucesso
[2026-01-31 07:46:05] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: Warlock: The Armageddon
[2026-01-31 08:01:15] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: Highlander II - A Ressurreição
[2026-01-31 08:01:37] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: B13 - 13º Distrito
[2026-01-31 08:02:04] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: A Múmia
[2026-01-31 08:02:52] IP: 45.227.58.58 | Action: MOVIE_UPDATE | Details: Filme atualizado: Jonah Hex - Caçador de Recompensas
